user_id,order_count,order_category
.56E880,1,1 Order
.99E45,1,1 Order
0003cba8,1,1 Order
0005fdf2,1,1 Order
0007b840,1,1 Order
000b5faa,1,1 Order
000d8208,1,1 Order
000dfcc4,1,1 Order
00126ab7,1,1 Order
0012f287,1,1 Order
0015d2e1,1,1 Order
001d9e6e,1,1 Order
002287c5,1,1 Order
002568cc,1,1 Order
00272a28,1,1 Order
002e219f,1,1 Order
003488b9,1,1 Order
0038d4cd,1,1 Order
0043d4f0,1,1 Order
004492ec,1,1 Order
004addff,1,1 Order
004b78bd,1,1 Order
004bf15e,1,1 Order
004ce40e,1,1 Order
00528d1a,1,1 Order
00545a8a,1,1 Order
00569cf5,1,1 Order
005a0d41,1,1 Order
005a47fd,1,1 Order
005a66d1,1,1 Order
0060b9b6,1,1 Order
00617b5c,1,1 Order
006ac5a0,1,1 Order
00706b0a,1,1 Order
0070f697,1,1 Order
00722ca8,1,1 Order
0072ccc5,1,1 Order
00745a9d,1,1 Order
0074fb9c,1,1 Order
0079af07,1,1 Order
007d2e35,2,2 Orders
007ee1ec,1,1 Order
007f3e67,1,1 Order
00806d7a,1,1 Order
0084abc5,1,1 Order
008b02f4,2,2 Orders
008bab88,1,1 Order
008ca0f0,1,1 Order
008ffa20,1,1 Order
009b4b64,1,1 Order
009d4d75,1,1 Order
009d973f,1,1 Order
00a045b1,1,1 Order
00a10f8c,1,1 Order
00a3c285,1,1 Order
00a41d8b,1,1 Order
00a5ea0e,1,1 Order
00a6ce49,1,1 Order
00a9fbe0,1,1 Order
00b41c9f,1,1 Order
00b5af54,1,1 Order
00b6fd34,1,1 Order
00b9c1ba,1,1 Order
00bad5ec,1,1 Order
00bc8d1f,1,1 Order
00c6a73f,1,1 Order
00c6f516,1,1 Order
00c7ed5c,1,1 Order
00cc2178,1,1 Order
00dbcf07,1,1 Order
00de2691,2,2 Orders
00dfc5a3,1,1 Order
00e019a6,1,1 Order
00f19c59,1,1 Order
00fe4189,1,1 Order
0100591d,1,1 Order
01017be3,1,1 Order
0101d97c,1,1 Order
01055ac2,1,1 Order
01068f2c,1,1 Order
0107c44c,1,1 Order
010e7e53,1,1 Order
010ebf9e,1,1 Order
0110d3c1,1,1 Order
0111502c,1,1 Order
01137f3a,1,1 Order
0113cf6b,2,2 Orders
0116fc77,1,1 Order
011a5041,1,1 Order
011c9ac7,1,1 Order
012482fe,1,1 Order
01267a7f,1,1 Order
012768d1,1,1 Order
012ce7cf,1,1 Order
0139ae67,1,1 Order
013a2731,1,1 Order
013cddb6,1,1 Order
0140329f,1,1 Order
01411ca0,1,1 Order
01413ebf,1,1 Order
0144512a,1,1 Order
014453b3,1,1 Order
014775a8,1,1 Order
0149c0d3,1,1 Order
01512c9d,1,1 Order
01555faf,1,1 Order
0158091b,1,1 Order
015d8d5c,1,1 Order
015f09a2,1,1 Order
015faa9c,1,1 Order
016416d2,2,2 Orders
016e44c0,2,2 Orders
0172228d,1,1 Order
0172a007,1,1 Order
0172bf90,1,1 Order
0172d02d,2,2 Orders
017b7fab,1,1 Order
017e3015,1,1 Order
0186dc6e,1,1 Order
0188d8b2,1,1 Order
0188f7b0,1,1 Order
018af31b,1,1 Order
018cd876,1,1 Order
0194f3eb,1,1 Order
01985a05,1,1 Order
0198f1ba,1,1 Order
019c7e07,1,1 Order
