👥 CUSTOMER SUMMARY
Metric,Value
Total Customers,19851.0
Repeat Purchase Rate (%),9.34
Average Orders per Customer,1.09


🌍 CUSTOMER DISTRIBUTION BY REGION
region,unique_customers,customer_share_%
APAC,1430,7.203667321545513
EMEA,8640,43.52425570500227
LATAM,356,1.7933605359931488
NA,9388,47.292327842426076
unknown,37,0.18638859503299582


🧭 CUSTOMER ACQUISITION METHOD SPLIT
account_creation_method_cleaned,unique_customers,share_%
desktop,14900,75.05919097274698
mobile,3992,20.109818145181602
tablet,304,1.5314089970278575
tv,22,0.11082565110070021
unknown,746,3.7579970782328345
